Você já fez compras de mercado online?,Você já desistiu de fazer uma compra online pelo aplicativo do BIG ou BIG Bompreço?,"Nessas ocasiões, o que fez você desistir da compra?",Você sentiu alguma dificuldade enquanto navegava pelo aplicativo? ,"Se sim, você sentiu dificuldade em qual parte do aplicativo?",Você tem algo a mais sobre a sua experiência para dividir conosco?,Submitted At,Token
TRUE,FALSE,,,,Não tenho nada a dizer excelente trabalho,10/15/2021 15:52:50,9w04a7cxh9kt719w02xja6wpt990t7f2
TRUE,TRUE,O aplicativo não disponibiliza parcelamento das compras,FALSE,,Tudo.,10/15/2021 15:53:12,or4j25b0gpzicjqixor4j25uw2qzhrv7
FALSE,TRUE,Não encontrei exatamente o produto que procurava,FALSE,,nao pra mim ta bom..,10/15/2021 15:53:21,v1aogu9flh7y2lc7i5v1aogu8g2pchas
TRUE,FALSE,,,,produtos veganos.,10/15/2021 15:52:43,tf69qxaseq3dcdiktf69qxwytfk6tokx
TRUE,FALSE,,,,Foi boa experiência  comprar no app,10/15/2021 15:52:53,50iak596cyknojuii50ia6asx377dayo
TRUE,FALSE,,,,Sempre tive ótimas experiências com vocês.,10/15/2021 15:53:23,e0i7ja6fwwefsv374upe0i7jw4tjqwhy
TRUE,TRUE,Não encontrei exatamente o produto que procurava,FALSE,,Aumentar crédito pra não ter q ficar adiantando parcela pra aproveitar o máximo as promoções,10/15/2021 15:57:31,3d8eegh3b1g3bcd3d8eete2bi9wmhqux
FALSE,TRUE,"Não consegui ver o desconto do item no carrinho, Os preços que encontrei não foram atrativos, Etapa de pagamento complicada ou longa, Não confio no aplicativo para inserir meus dados de pagamento",TRUE,"Página inicial, Login ou cadastro",App difícil,10/15/2021 15:53:55,n2d5ab0qh5r7ntn2d5bjolslo7k8wvcs
TRUE,TRUE,Não tinha o produto ofertado,FALSE,,Conferir estoque antes de lançar no aplicativo,10/15/2021 15:56:16,z4lanvbpee8a86hcz4ly1pz23ci0tv1h
TRUE,FALSE,,,,"Que tudo que for posto a venda seja entregue e não cancelado, como ja aconteceu.",10/15/2021 15:54:30,vlx3swhg3pjvaih9kabvlx3swtu6udj0
FALSE,TRUE,"Não consegui navegar bem pelas categorias do aplicativo, Os preços que encontrei não foram atrativos, Promoção divulgada não funcionou",TRUE,"Listagem de produtos, Página inicial",,10/15/2021 15:54:31,u6h8ijuvamqz19f9u6yuzxj954svus5q
TRUE,FALSE,,,,Fácil e pratico e pontual na entrega,10/15/2021 15:54:43,hxhhx8ppadxwnehxhh5nm9lmxkuocow6
FALSE,FALSE,,,,Muito caro.falta de açougue. Mal atendido nos caixas,10/15/2021 15:54:38,dtqx77w06ayrp1qgxdtqx7qhwc50jxj2
TRUE,FALSE,,,,Os cupons me salvam muito,10/15/2021 15:53:50,fiuov05ub2r3fiuni398ja1u27xyz4lw
TRUE,TRUE,Etapa de pagamento complicada ou longa,TRUE,Tela de pagamento,"Gostaria de pagar o preço peço qual eu comprei, não o preço de quando é faturado o cupom.",10/15/2021 15:59:45,hkijtplpgbw32uuqehkijti33xci7og8
TRUE,TRUE,O aplicativo não atende minha região,FALSE,,Gostei muito de comprar no BIG mas infelizmente não atende mais a minha região.,10/15/2021 15:55:55,4n0cw6seaug4dly84k215mw1ix78sild
TRUE,TRUE,"Os preços que encontrei não foram atrativos, Não confio no aplicativo para inserir meus dados de pagamento, O aplicativo não disponibiliza parcelamento das compras",FALSE,,"O valor dos cupons nunca é aplicado corretamente, sempre tem divergência de valor e nunca vem a compra completa, sempre cancelam algo",10/15/2021 15:55:37,0n07r95wr57e1b0rm0n07r9uzlh1bn8c
TRUE,TRUE,Prazo de entrega muito demorado,FALSE,,"Sim, precisa rever a questão da entrega de itens de geladeira, as duas vezes que pedi, perdi os produtos. Pão de queijo e sorvete chegaram totalmente descongelados. Pão de queijo todo esfarelado. Sorvete totalmente descongelado, ao congelar novamente perdeu toda a cremosidade, virou gelo.",10/15/2021 15:57:06,2tcsxx9jt8uzuisa2tcsxnss76bl6rc1
TRUE,FALSE,,,,,10/15/2021 15:54:02,e7otg40zi14e1ve7oc8sfovu9h2u1h7c
TRUE,TRUE,Não encontrei exatamente o produto que procurava,FALSE,,,10/15/2021 15:55:20,oehycvsa94w3d5ux8voehyuzpkqmtz4v
TRUE,FALSE,,,,"Sim. Colocar mais itens de compra no aplicativo, tais como pneus e outros produtos que não constam do app.",10/15/2021 15:57:53,hua81uuu1bhf2yl7o4xhua81uuu1hpvz
FALSE,FALSE,,,,Não,10/15/2021 15:54:29,raj9lrkpbl20zsc909v93g7raj9lt3bb
TRUE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,FALSE,,Faltou aceitarem Ticket alimentação igual aceitam no mercado daí seria perfeito,10/15/2021 15:55:35,wzji6wj14pwslujcjirwzji6wjo8tmh9
TRUE,TRUE,"Etapa de pagamento complicada ou longa, Não confio no aplicativo para inserir meus dados de pagamento",TRUE,"Página inicial, Login ou cadastro, Listagem de produtos, Carrinho",Díficil o app,10/15/2021 15:55:05,g3xep7mmlr90yae83tlgvg3xep9q069d
TRUE,TRUE,"Valor mínimo de compra é muito alto, Os preços que encontrei não foram atrativos, Não consegui ver o desconto do item no carrinho",FALSE,,,10/15/2021 15:55:13,1qgx5lpxbd1k71b6vufowfplj11qgx5l
FALSE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,Nao,10/15/2021 16:02:28,3nzt4kucj1345153d83nzt4gm5pv2pd3
FALSE,TRUE,Valor mínimo de compra é muito alto,FALSE,,Preços muito alto,10/15/2021 15:55:04,qvyf9jbw2qgkhwpqb5eldqvyf9jott0f
TRUE,FALSE,,,,Ótimo aplicativo. Auxilia para quem não quer entrar em filas.,10/15/2021 15:55:20,f01kv70bz80eyainf01kvcpbouco321k
FALSE,FALSE,,,,Não tenho nada a declarar,10/15/2021 15:55:09,yyxb9conmod7ebsdpz3yyxb0zg9ehzke
TRUE,TRUE,Não encontrei exatamente o produto que procurava,FALSE,,,10/15/2021 15:55:05,mgqai8i8qi4hwvfmge805wnwpjw2lnbq
TRUE,TRUE,Não entendi o preço total da compra,FALSE,,A troca de produtos não é bem esclarecida... Quando ligam não explicam direito sobre o valor do produto trocado....,10/15/2021 15:58:12,q7pqdtlet9syw12pd2pnq7pqdtwb6x98
TRUE,FALSE,,,,A entrega é rápida,10/15/2021 15:55:05,ovbve6fd9csv7ilv3ktcovbv39eluzoh
TRUE,FALSE,,,,"Sim,as vezes eles cancelam as nossas compras sem ligar para saber se pode fazer isso",10/15/2021 15:56:25,2vdczrvl7pe6vw912v6gi4sw60yauc3a
TRUE,TRUE,O aplicativo é muito lento,TRUE,"Login ou cadastro, Carrinho","Pelo amor de Deus melhorem os supermercados físicos, está tudo uma bagunça. Alem de existir preços que na hora de pagar nao correspondem ao informado",10/15/2021 15:57:03,kyxt4jyxs67xuyyxfkyxt4g3kjrohg4t
TRUE,TRUE,Os preços que encontrei não foram atrativos,FALSE,,,10/15/2021 15:55:25,9zrs233evofaysagrvudt9zrs297wgjo
TRUE,TRUE,Não encontrei exatamente o produto que procurava,TRUE,Listagem de produtos,,10/15/2021 15:55:17,8vz5xj4z0czm7b4hkzd8vztb6ed8dhdt
TRUE,TRUE,"Não encontrei exatamente o produto que procurava, Os preços que encontrei não foram atrativos, Valor mínimo de compra é muito alto, O aplicativo não disponibiliza parcelamento das compras",FALSE,,"Achei ruim em algumas vezes fazerem promoções atrativas e não terem estoque do produto. Isso já se tornou recorrente, e é muito, mas muito desagradável.",10/15/2021 15:58:12,gdum81w3aibsp6gdu0wyuidu80z7rngv
TRUE,FALSE,,,,,10/15/2021 15:55:51,8z8qttim7c1s6gp3rq68z8qt1od8s97s
TRUE,FALSE,,,,"Estou gostando muito aplicativo, sempre tem promoção que valem a pena,",10/15/2021 15:56:20,xmmo3y9kk5nv13417xmm2b7ysrgqfctv
TRUE,TRUE,Promoção divulgada não funcionou,FALSE,,Fiz três compras que foram canceladas por falta dos produtos. Uma vergonha um mercado desse tamanho não ter cerveja Eisenbahn,10/15/2021 15:56:51,642s2h8jfpl60e8a3co642qh1caxk5lw
FALSE,TRUE,O aplicativo não possui o método de pagamento que eu gostaria,TRUE,Listagem de produtos,"Preços das prateleiras do big estão sempre diferentes da tela do caixa. Big Shopping Iguatemi ou Vila Romana, é muito desorganizado com os preços das prateleiras",10/15/2021 16:01:43,hso4so1ykubkzffbqhso4sd9eh3wwpl6
